STYLE-SIZE,CYLINDER TYPE,MACHINE TYPE,NEEDLE QTY,AREA,Capacity (Pairs per day per machine),,MCT1 : SS (G21 TY M),MCT2 : SS (G21 TY L),MCT3 : SS (G21 TY L2-JUMBO),MCT4 : SS (G21 M),MCT5 : SS (G21 L),MCT 6 : SS (G21 L2 JUMBO),MCT7 : SS (G21 TY L3),MCT8 : SS (G21 TY L4),MCT9: BMAC (G21 S/124),MCT10: BMAC (G21 M/134),MCT11 : RAV (G21 L/133),MCT12 : RAV (G21 L2 JUMBO),,Jan Demand (pairs),Feb Demand (pairs),Mar Demand (pairs),Apr Demand (pairs),May Demand (pairs),Jun Demand (pairs),Jul Demand (pairs),Aug Demand (pairs),Sep Demand (pairs),Oct Demand (pairs),Nov Demand (pairs),Dec Demand (pairs)
FPS21TXUFN-10,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,9120,10800,13440,0,0,0
FPS21TXUFN-11,L2,SS (G21 TY L2-JUMBO),142,KNITTING,75,,,,75,,,,,,,75,,75,,0,0,0,0,0,0,7200,3840,4320,0,0,0
FPS21TXUFN-12,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,480,0,960,0,0,0
FPS21TXUFN-5,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,960,0,480,0,0,0
FPS21TXUFN-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,1440,1400,1920,0,0,0
FPS21TXUFN-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,5280,2640,6240,0,0,0
FPS21TXUFN-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,12000,9600,12000,0,0,0
FPS21TXUFN-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,20640,23520,21120,0,0,0
FPS21TXUGFN-10,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,2880,1400,3840,0,0,0
FPS21TXUGFN-11,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,0,0,1440,0,0,0
FPS21TXUGFN-12,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,480,0,960,0,0,0
FPS21TXUGFN-5,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,0,0,0,0,0,0
FPS21TXUGFN-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,480,0,480,0,0,0
FPS21TXUGFN-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,1920,1440,480,0,0,0
FPS21TXUGFN-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,4320,1920,960,0,0,0
FPS21TXUGFN-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,5760,6480,2880,0,0,0
PS21TX-10,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,1920,480,720,0,0,0
PS21TX-11,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,720,0,240,0,0,0
PS21TX-12,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,,,84,,0,0,0,0,0,0,0,0,960,0,0,0
PS21TX-5,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,0,240,480,0,0,0
PS21TX-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,240,240,480,0,0,0
PS21TX-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,960,720,480,0,0,0
PS21TX-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,240,720,240,0,0,0
PS21TX-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,480,240,1440,0,0,0
S21TX-10,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,1920,1920,2880,0,0,0
S21TX-11,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,960,1920,0,0,0,0
S21TX-12,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,,,84,,0,0,0,0,0,0,480,480,720,0,0,0
S21TX-5,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,240,240,240,0,0,0
S21TX-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,480,480,960,0,0,0
S21TX-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,1200,720,1200,0,0,0
S21TX-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,720,1440,2160,0,0,0
S21TX-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,2400,2640,4320,0,0,0
S21TX-MX-10,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-11,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,84,,84,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-12,L2,SS (G21 TY L2-JUMBO),142,KNITTING,84,,,,84,,,,,,,,,84,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-5,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,720,720,480,0,0,0
S21TX-MX-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,720,480,0,0,0,0
S21TX-MX-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,720,480,240,0,0,0
SL21TX18TE-2XL,L4,SS (G21 TY L4),162,KNITTING,55,,,,,,,,,55,,,,,,0,0,0,0,0,0,300,420,600,0,0,0
SL21TX18TE-XL,L3,SS (G21 TY L3),152,KNITTING,57,,,,,,,,57,,,,,,,0,0,0,0,0,0,540,600,1440,0,0,0
SL21TX18TE-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,57,,,,57,,,,,,,,,,,0,0,0,0,0,0,240,1200,420,0,0,0
SL21TX18TE-M,L,SS (G21 TY L),132,KNITTING,60,,,60,,,,,,,,,,,,0,0,0,0,0,0,120,420,360,0,0,0
